seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,logreg_elastic,0.6190611664295875,0.6818181818181818,0.6322314049586776,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.1}",0.75,0.5454545454545454,0.631578947368421
1,logreg_elastic,0.5559032716927453,0.6363636363636364,0.6818181818181819,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.9}",0.6363636363636364,0.6363636363636364,0.6363636363636364
2,logreg_elastic,0.5920341394025604,0.5454545454545454,0.6363636363636364,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.9}",0.5333333333333333,0.7272727272727273,0.6153846153846154
3,logreg_elastic,0.6143669985775249,0.8181818181818182,0.834710743801653,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.9}",0.8888888888888888,0.7272727272727273,0.8
5,logreg_elastic,0.5975817923186344,0.7272727272727273,0.6694214876033058,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.1}",0.7272727272727273,0.7272727272727273,0.7272727272727273
