seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,rfc,0.5870554765291607,0.5909090909090909,0.615702479338843,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.625,0.45454545454545453,0.5263157894736842
1,rfc,0.5452347083926032,0.6363636363636364,0.7644628099173554,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.8,0.36363636363636365,0.5
2,rfc,0.5655761024182077,0.45454545454545453,0.49999999999999994,"{'clf__class_weight': 'balanced', 'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 800}",0.46153846153846156,0.5454545454545454,0.5
3,rfc,0.5933143669985775,0.7272727272727273,0.7768595041322315,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.25, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 800}",0.8571428571428571,0.5454545454545454,0.6666666666666666
5,rfc,0.5610241820768137,0.5909090909090909,0.5661157024793388,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 800}",0.5833333333333334,0.6363636363636364,0.6086956521739131
