seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,xgb,0.5819345661450924,0.5454545454545454,0.5413223140495868,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5454545454545454,0.5454545454545454,0.5454545454545454
1,xgb,0.5608819345661451,0.7272727272727273,0.665289256198347,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.8571428571428571,0.5454545454545454,0.6666666666666666
2,xgb,0.5499288762446657,0.4090909090909091,0.40909090909090906,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.4,0.36363636363636365,0.38095238095238093
3,xgb,0.5614509246088193,0.6818181818181818,0.8512396694214877,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.75,0.5454545454545454,0.631578947368421
5,xgb,0.5560455192034139,0.5454545454545454,0.5661157024793388,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5384615384615384,0.6363636363636364,0.5833333333333334
