seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,knn,0.5819345661450924,0.5909090909090909,0.6322314049586777,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6,0.5454545454545454,0.5714285714285714
1,knn,0.5342816500711238,0.45454545454545453,0.5371900826446281,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'uniform'}",0.4444444444444444,0.36363636363636365,0.4
2,knn,0.5499288762446657,0.5454545454545454,0.5537190082644629,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5454545454545454,0.5454545454545454,0.5454545454545454
3,knn,0.5770981507823613,0.7272727272727273,0.7396694214876033,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8571428571428571,0.5454545454545454,0.6666666666666666
5,knn,0.5395448079658606,0.5454545454545454,0.4504132231404959,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5555555555555556,0.45454545454545453,0.5
