seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,svc,0.6031294452347085,0.5909090909090909,0.6322314049586777,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.625,0.45454545454545453,0.5263157894736842
1,svc,0.5135135135135135,0.5,0.6652892561983472,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.0,0.0,0.0
2,svc,0.5493598862019915,0.5,0.5,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.5,0.5454545454545454,0.5217391304347826
3,svc,0.5559032716927453,0.7727272727272727,0.8016528925619834,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",1.0,0.5454545454545454,0.7058823529411765
5,svc,0.5398293029871978,0.5909090909090909,0.6322314049586777,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.5833333333333334,0.6363636363636364,0.6086956521739131
