seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,svc,0.5977240398293031,0.5909090909090909,0.5991735537190083,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.625,0.45454545454545453,0.5263157894736842
1,svc,0.5297297297297298,0.5,0.7396694214876033,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.0,0.0,0.0
2,svc,0.5496443812233286,0.45454545454545453,0.5082644628099173,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.4666666666666667,0.6363636363636364,0.5384615384615384
3,svc,0.5453769559032717,0.7272727272727273,0.8181818181818182,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",1.0,0.45454545454545453,0.625
5,svc,0.5500711237553342,0.6363636363636364,0.5413223140495868,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.6,0.8181818181818182,0.6923076923076923
