seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,xgb,0.5920341394025604,0.5454545454545454,0.6570247933884297,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5454545454545454,0.5454545454545454,0.5454545454545454
1,xgb,0.5611664295874822,0.6363636363636364,0.7479338842975207,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.8,0.36363636363636365,0.5
2,xgb,0.5547652916073968,0.4090909090909091,0.4917355371900826,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.4166666666666667,0.45454545454545453,0.43478260869565216
3,xgb,0.5560455192034139,0.7727272727272727,0.8264462809917356,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.875,0.6363636363636364,0.7368421052631579
5,xgb,0.5561877667140825,0.5909090909090909,0.5991735537190083,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.6,0.5454545454545454,0.5714285714285714
