seed,p_train,test_acc,test_roc_auc,test_precision,test_recall,test_f1
0,0.4973544973544973,0.5,0.5,0.0,0.0,0.0
1,0.4973544973544973,0.5,0.5,0.0,0.0,0.0
2,0.4973544973544973,0.5,0.5,0.0,0.0,0.0
3,0.4973544973544973,0.5,0.5,0.0,0.0,0.0
5,0.4973544973544973,0.5,0.5,0.0,0.0,0.0
