,pearson_corr,abs_corr
ds1_cc_res,0.03716372481954942,0.03716372481954942
a1_ex_cost,0.03715363751135796,0.03715363751135796
def_ex_length_std_PARTIAL,0.036105930654081464,0.036105930654081464
diff_max_hp_std_PARTIAL,-0.03603318207084827,0.03603318207084827
as1_accuracy,0.03511077896550781,0.03511077896550781
atk_ex_length_mean,0.03482445759876943,0.03482445759876943
atk_ex_length_sum,0.03482445759876936,0.03482445759876936
diff_crit_std_FULL,-0.03478896879094803,0.03478896879094803
ds1_healing,-0.03462601679178425,0.03462601679178425
as1_max_hp,0.034598322890624894,0.034598322890624894
d3_alt_count,-0.034421676330614916,0.034421676330614916
ds1_alt_count,0.034179885445163594,0.034179885445163594
a1_mag_count,0.03409542268708445,0.03409542268708445
a4_na_cost,0.0340831437934392,0.0340831437934392
diff_ex_cost_std_PARTIAL,0.03390763997749807,0.03390763997749807
diff_evasion_std_PARTIAL,-0.03387111155940316,0.03387111155940316
atk_def_std,0.03344038042426045,0.03344038042426045
d1_max_hp,0.03233957795175951,0.03233957795175951
diff_ex_cost_sum_PARTIAL,-0.031899286837387075,0.031899286837387075
atk_healing_std,-0.031620376352055626,0.031620376352055626
a4_min_dmg,-0.03139998349706778,0.03139998349706778
diff_ex_length_std_PARTIAL,-0.031188184044668776,0.031188184044668776
def_max_hp_sum_PARTIAL,0.030699712372417413,0.030699712372417413
def_max_hp_mean_PARTIAL,0.030699712372417285,0.030699712372417285
a4_stability,-0.030500968539316716,0.030500968539316716
diff_healing_std_FULL,0.030330285281231297,0.030330285281231297
diff_ex_length_mean_PARTIAL,-0.02993728869573187,0.02993728869573187
def_max_hp_std_PARTIAL,0.029818073299006116,0.029818073299006116
a1_min_dmg,-0.029759563321890548,0.029759563321890548
d3_ex_cost,-0.029120540304743994,0.029120540304743994
a1_stability,-0.02907612253936521,0.02907612253936521
a2_na_cost,0.028468644418963733,0.028468644418963733
diff_accuracy_std_FULL,0.02813232944295904,0.02813232944295904
d4_na_cost,0.027795206200276017,0.027795206200276017
d1_def,-0.02687744474514959,0.02687744474514959
a1_def,0.02684115407197329,0.02684115407197329
d1_n_range,-0.026743638384254354,0.026743638384254354
d1_dmg_reduction,-0.026699964542333244,0.026699964542333244
a1_dmg_reduction,0.02657257004191971,0.02657257004191971
a1_na_cost,0.026291332025608696,0.026291332025608696
diff_ex_cost_mean_PARTIAL,-0.02589791033351395,0.02589791033351395
as1_ex_length,0.025766457780905055,0.025766457780905055
a3_ex_length,0.02508341086303027,0.02508341086303027
def_evasion_sum_FULL,-0.02474249131831363,0.02474249131831363
def_evasion_mean_FULL,-0.024742491318313593,0.024742491318313593
a2_healing,0.024534572199030026,0.024534572199030026
diff_def_mean_PARTIAL,0.024240115781404132,0.024240115781404132
d2_evasion,0.024191603004461507,0.024191603004461507
d1_affinity_indoor_block_r,0.023993183091458356,0.023993183091458356
d1_affinity_indoor_dmg_mult,0.02399318309145828,0.02399318309145828
diff_evasion_sum_FULL,0.02354493486694256,0.02354493486694256
diff_evasion_mean_FULL,0.023544934866942542,0.023544934866942542
d1_crit_dmg_res,0.023513422155004574,0.023513422155004574
a4_ex_cost,0.023481802759350082,0.023481802759350082
d2_recov_boost,-0.023419278230185258,0.023419278230185258
as1_evasion,-0.02308785117076031,0.02308785117076031
def_position_middle_prop_FULL,0.022675394683593066,0.022675394683593066
as1_stability,0.02259623812032313,0.02259623812032313
d2_n_range,0.022530710552550216,0.022530710552550216
a4_def,0.02213414620182472,0.02213414620182472
atk_ex_length_std,0.022128948348998503,0.022128948348998503
diff_accuracy_std_PARTIAL,0.022081899860925784,0.022081899860925784
a4_dmg_reduction,0.021839199367007126,0.021839199367007126
def_atk_std_PARTIAL,-0.02169989678012596,0.02169989678012596
atk_atk_std,-0.021690353063074343,0.021690353063074343
d1_crit_dmg,0.021236989994114636,0.021236989994114636
ttk_a1_to_def,0.021191155996473823,0.021191155996473823
